city_id,city_name,state_id,state_name,country_id,country_name,region_id,region_name,subregion_id,subregion_name,population_2025
64500,Tokyo,823,Tokyo,109,Japan,3,Asia,12,Eastern Asia,37036200
131679,Delhi,4021,Delhi,101,India,3,Asia,14,Southern Asia,34665600
20063,Shanghai,2249,Shanghai,45,China,3,Asia,12,Eastern Asia,30482100
31802,Cairo,3223,Cairo,65,Egypt,1,Africa,1,Northern Africa,23074200
19332,Beijing,2257,Beijing,45,China,3,Asia,12,Eastern Asia,22596500
133024,Mumbai,4008,Maharashtra,101,India,3,Asia,14,Southern Asia,22089000
64214,Osaka,859,Ōsaka,109,Japan,3,Asia,12,Eastern Asia,18921600
19404,Chongqing,2271,Chongqing,45,China,3,Asia,12,Eastern Asia,18171200
85521,Karachi,3175,Sindh,167,Pakistan,3,Asia,14,Southern Asia,18076800
77002,Lagos,306,Lagos,161,Nigeria,1,Africa,3,Western Africa,17156400
153786,Istanbul,2170,İstanbul,225,Turkey,3,Asia,11,Western Asia,16236700
142001,Kolkata,4853,West Bengal,101,India,3,Asia,14,Southern Asia,15845200
19562,Guangzhou,2279,Guangdong,45,China,3,Asia,12,Eastern Asia,14878700
85572,Lahore,3176,Punjab,167,Pakistan,3,Asia,14,Southern Asia,14825800
149198,Tianjin,2276,Tianjin,45,China,3,Asia,12,Eastern Asia,14704100
14309,Rio de Janeiro,1997,Rio de Janeiro,31,Brazil,2,Americas,8,South America,13923200
20091,Shenzhen,2279,Guangdong,45,China,3,Asia,12,Eastern Asia,13545400
99972,Moscow,1901,Moscow,182,Russia,4,Europe,15,Eastern Europe,12737400
131517,Chennai,4035,Tamil Nadu,101,India,3,Asia,14,Southern Asia,12336000
80701,Lima,3695,Lima,173,Peru,2,Americas,8,South America,11517300
106448,Bangkok,3554,Bangkok,219,Thailand,3,Asia,13,South-Eastern Asia,11391700
44856,Paris,4796,Île-de-France,75,France,4,Europe,17,Western Europe,11346800
132132,Hyderabad,4012,Telangana,101,India,3,Asia,14,Southern Asia,11337900
19941,Nanjing,2255,Taiwan,45,China,3,Asia,12,Eastern Asia,10174900
615,Luanda,222,Luanda,7,Angola,1,Africa,2,Middle Africa,10027900
65498,Seoul,3849,Seoul,116,South Korea,3,Asia,12,Eastern Asia,10025800
19387,Chengdu,2277,Sichuan,45,China,3,Asia,12,Eastern Asia,9998870
50388,London,2336,England,232,United Kingdom,4,Europe,18,Northern Europe,9840740
130202,Ho Chi Minh City,3811,Hồ Chí Minh,240,Vietnam,3,Asia,13,South-Eastern Asia,9816320
135129,Tehran,3945,Tehran,103,Iran,3,Asia,14,Southern Asia,9729740
64078,Nagoya,827,Aichi,109,Japan,3,Asia,12,Eastern Asia,9534790
57606,Ahmedabad,4030,Gujarat,101,India,3,Asia,14,Southern Asia,9061820
76497,Kuala Lumpur,1949,Kuala Lumpur,132,Malaysia,3,Asia,13,South-Eastern Asia,9000280
20233,Wuhan,2274,Hubei,45,China,3,Asia,12,Eastern Asia,8986480
20150,Suzhou,2255,Taiwan,45,China,3,Asia,12,Eastern Asia,8592820
19598,Hangzhou,2247,Zhejiang,45,China,3,Asia,12,Eastern Asia,8591040
134096,Surat,4030,Gujarat,101,India,3,Asia,14,Southern Asia,8581730
109063,Dar es Salaam,1490,Dar es Salaam,218,Tanzania,1,Africa,4,Eastern Africa,8561520
134504,Baghdad,3959,Baghdad,104,Iraq,3,Asia,11,Western Asia,8141120
20090,Shenyang,2268,Liaoning,45,China,3,Asia,12,Eastern Asia,7974270
