category,label,aliases
Sports,Basketball,
Sports,Football,
Sports,Baseball,
Sports,Soccer ball,
Sports,Golf ball,
Sports,Tennis ball,
Sports,Volleyball,
Sports,Tennis racket,
Sports,Baseball bat,
Sports,Helmet,
Animals,Cat,
Animals,Dog,
Animals,Horse,
Animals,Cow,
Animals,Sheep,
Animals,Rabbit,
Animals,Lion,
Animals,Tiger,
Animals,Bear,
Animals,Elephant,
Fruits,Apple,
Fruits,Banana,
Fruits,Orange,
Fruits,Strawberry,
Fruits,Grape,
Fruits,Watermelon,
Fruits,Pineapple,
Fruits,Mango,
Fruits,Cantaloupe,
Fruits,Peach,
Vehicles,Car,
Vehicles,Truck,
Vehicles,Motorcycle,
Vehicles,Boat,
Vehicles,Airplane,Plane
Vehicles,Train,
Vehicles,Bus,
Vehicles,Helicopter,
Vehicles,Scooter,
Vehicles,Ship,
Clothes,Shirt,
Clothes,Pants,Pant;Pair of pants
Clothes,Jacket,
Clothes,Dress,
Clothes,Skirt,
Clothes,Belt,
Clothes,Shoes,Shoe;Pair of shoes
Clothes,Boots,Boot;Pair of boots
Clothes,Socks,Sock;Pair of socks
Clothes,Hat,
Clothes,Scarf,
Electronics,Computer,
Electronics,Smartphone,
Electronics,Television,TV
Electronics,Headphone,Headphones;Pair of headphones
Electronics,Monitor,Computer monitor
Electronics,Camera,
Electronics,Microwave,Microwave oven
Electronics,Refrigerator,
Electronics,Blender,
Electronics,Computer keyboard,Keyboard
Musical Instruments,Piano,
Musical Instruments,Guitar,
Musical Instruments,Drum,Drums
Musical Instruments,Violin,
Musical Instruments,Saxophone,
Musical Instruments,Flute,
Musical Instruments,Trumpet,
Musical Instruments,Clarinet,
Musical Instruments,Harp,
Musical Instruments,Trombone,
Furniture,Chair,
Furniture,Table,
Furniture,Bed,
Furniture,Desk,
Furniture,Couch,
Furniture,Dresser,
Furniture,Bookcase,
Furniture,Nightstand,
Furniture,Mattress,
Furniture,Pillow,
Office Supplies,Pen,
Office Supplies,Paper,Piece of paper
Office Supplies,Stapler,
Office Supplies,Printer,
Office Supplies,Calculator,
Office Supplies,Battery,Battery pack;Pack of batteries
Office Supplies,Toothbrush,
Office Supplies,Toothpaste,
Office Supplies,Pencil,
Office Supplies,Sharpie,
Office Supplies,Scissors,Pair of scissors
Office Supplies,Key,
Office Supplies,Diary,
Office Supplies,Calendar,
Vegetables,Carrot,
Vegetables,Potato,
Vegetables,Broccoli,
Vegetables,Tomato,
Vegetables,Onion,
Vegetables,Spinach,
Vegetables,Corn,
Vegetables,Peas,Pea
Vegetables,Celery,
Vegetables,Cucumber,
Art,Painting,Canvas painting;Oil painting;Watercolor painting
Art,Paintbrush,
Art,Canvas,Painting canvas
Art,Eraser,Pencil eraser
Art,Marker,
Art,Glue,Glue stick;Bottle of glue
Art,Sculpture,
Kitchen Tools,Knife,
Kitchen Tools,Spoon,
Kitchen Tools,Fork,
Kitchen Tools,Plate,
Kitchen Tools,Bowl,
Kitchen Tools,Cooking pot,Pot
Kitchen Tools,Pan,Saucepan;Frying pan
Kitchen Tools,Cup,
Kitchen Tools,Chopstick,Chopsticks;Pair of chopsticks
Kitchen Tools,Whisk,
Nature,Rock,
Nature,Tree,
Nature,Bush,
Nature,Mountain,
Nature,Forest,
Nature,Ocean,
Nature,Sea,
Nature,Lake,
Nature,River,
Nature,Meteorite,
Nature,Cactus,
Toys,Lego,Lego set
Toys,Doll,Toy doll;Plush doll
Toys,Kite,
Toys,Puzzle,Jigsaw puzzle
Toys,Stuffed animal,
Jewelry,Earring,Earrings;Pair of earrings
Jewelry,Necklace,
Jewelry,Bracelet,
Jewelry,Ring,
Jewelry,Brooch,
Jewelry,Hairclip,
Jewelry,Pendant,
Jewelry,Watch,
Jewelry,Locket,
Garden Supplies,Gloves,Glove;Pair of gloves
Garden Supplies,Shovel,
Garden Supplies,Rake,
Garden Supplies,Watering can,
Garden Supplies,Lawn mower,
Tools,Hammer,
Tools,Screwdriver,
Tools,Wrench,
Tools,Saw,
Tools,Pliers,plier;Pair of pliers
Tools,Drill,
